Name,Address,Rate,Review,Phone,Super Type,Marketing Area
رستوران سنتی قصر ضیافت,اهواز،نادری،بلوار آيت الله بهبهاني نبش خ حلالي روبروي پارک شهر بازی,۳٫۸,(22 نفر),tel://06132226611,رستوران,15-AkharAsfalt
سالن غذاخوری شرکت ملی مناطق نفت خیز جنوب,اهواز،مناطق اداری شرکت نفت،کنارگذر پاسداران,۵٫۰,(2 نفر),tel://06132263086,رستوران,13-Hasirabad
رستوران سنتی شاد نشین,اهواز،نادری،خ. شریعتی،خ. زند,0,0,/p/%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86-%D8%B3%D9%86%D8%AA%DB%8C-%D8%B4%D8%A7%D9%87-%D9%86%D8%B4%DB%8C%D9%86-ahvaz_restaurant-73nd4e67MTn6xn/gallery,فست‌فود,15-AkharAsfalt
غذاخوری احلی اللیالی,اهواز،کوی علوی،خ. بنی هاشم،خ. فرهانی,۴٫۰,(1 نفر),tel://09163045811,فست‌فود,6-Campolo
رستوران سنتی فرحزاد,اهواز،کیان آباد،خ. کیانپارس،خ. توحید,0,0,tel://06133768001,رستوران,1-Kianpars
کافه رستوران سنتی هوج,اهواز،سید خلف،خ ساحل بین کنارگذر مدرس و عزت دوم,0,0,/p/%D9%85%D8%B1%DA%A9%D8%B2-%D9%88%D8%A7%DA%A9%D8%B3%DB%8C%D9%86%D8%A7%D8%B3%DB%8C%D9%88%D9%86-%D9%86%D9%85%D8%A7%DB%8C%D8%B4%DA%AF%D8%A7%D9%87-%D8%A8%DB%8C%D9%86-%D8%A7%D9%84%D9%85%D9%84%D9%84%DB%8C-%D8%AE%D9%88%D8%B2%D8%B3%D8%AA%D8%A7%D9%86-ahvaz_vaccination-centre-1qEJzSQ9FMIJtf,رستوران,1-Kianpars
غذاخوری آذربایجان,اهواز،خیابان 30متری،خ طالقانی،خ علم الهدی،خ اهوازیان,۵٫۰,(1 نفر),/p/%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D8%A8%D8%B2%D8%B1%DA%AF-%DA%A9%D8%A7%D9%85%D9%BE%DB%8C%D9%88%D8%AA%D8%B1-%D8%A7%D9%87%D9%88%D8%A7%D8%B2-ahvaz_shopping-mall-4GOnRaCDXNOjvg,رستوران,13-Hasirabad
کترینگ لیمو,اهواز کیانپارس نبش ۱۸ غربی کترینگ لیمو,0,0,tel://09163129688,تهیه غذا,1-Kianpars
رستوران و آشپزخانه سنتی خانسالار,اهواز،نادری،خ. زند،خ. خوانساری,۳٫۰,(2 نفر),tel://06132926278,رستوران,15-AkharAsfalt
رستوران سنتی,اهواز،سید خلف،کنارگذر مدرس,0,0,/p/%D8%A8%D9%87%D8%AF%D8%A7%D8%B1%DB%8C-%D8%A7%D9%86%D8%AA%D8%B8%D8%A7%D9%85%DB%8C-%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%AE%D9%88%D8%B2%D8%B3%D8%AA%D8%A7%D9%86-ahvaz_military-clinic-5soLp7YIkCjhuM,فست‌فود,1-Kianpars
